,benchmark_id,estimated_difficulty,estimated_slope,benchmark_name,is_anchor,benchmark_release_date
0,b20,-0.22069265890957102,0.962007796713382,HellaSwag,False,2019-05-19
1,b31,0.0,1.0,Winogrande,True,2019-07-24
2,b27,0.05362222706013542,0.7553818906938888,TriviaQA,False,2017-05-09
3,b12,0.08709718978792336,1.441549004578663,BoolQ,False,2019-05-24
5,b22,0.2698333865799374,0.36123103512806826,OpenBookQA,False,2018-09-08
7,b9,0.8668064779936169,2.570666474413575,ARC AI2,False,2018-03-14
8,b21,0.9564815435680293,1.6597702663208276,MMLU,False,2020-09-07
12,b3,1.9236985719203274,4.006666394871755,MATH level 5,False,2021-03-05
13,b1,1.9685561418650013,1.8990913049524167,GPQA diamond,False,2023-11-20
